player_id,player_name,minutes_played,goals,player_rating
P00055,Rodri Fati,72,0,5.6
P00070,Ansu Le Normand,90,0,5.7
P00066,Gavi Ramos,73,1,8.3
P00073,Pedro Cubarsi,80,1,6.9
P00059,Alvaro Oyarzabal,79,0,5.7
P00072,Dani Gavi,90,0,6.6
P00058,Rodri Laporte,79,0,6.7
P00078,Ansu Fati,77,1,6.8
P00056,Pedro Torres,71,0,6.4
P00074,Gavi Le Normand,82,0,6.3
P00069,Ferran Cubarsi,85,0,6.4
P00071,Marco Mikel,36,0,6.6
P00076,Alvaro Gavi,22,0,6.2
P00067,Rodri Alonso,35,0,7.1
P00057,Gavi Asensio,0,0,0
P00062,Marco Carvajal,0,0,0
P00077,Ferran Morata,0,0,0
P00064,Aymeric Yamal,0,0,0
P00061,Ansu Alba,0,0,0
P00068,Alvaro Llorente,0,0,0
P00060,Ferran Pau,0,0,0
P00075,Rodri Mikel,0,0,0
P00063,Dani Garcia,0,0,0
P00065,Pedro Riquelme,0,0,0
P00053,Pedro Gavi,0,0,0
P00054,Gavi Morata,0,0,0
P01225,Lyle Mvala,69,0,6.8
P01241,Sphephelo Mbatha,90,0,7.4
P01243,Percy Mkhize,90,0,5.5
P01240,Mothobi Xoki,72,0,6.2
P01228,Lyle Makgopa,90,1,6.5
P01239,Ronwen Mkhize,87,1,6.3
P01247,Ronwen Mokoena,82,0,7.4
P01229,Teboho Maela,69,0,6.4
P01244,Themba Xoki,72,0,7.2
P01233,Luther Maboe,73,0,7.2
P01238,Teboho Billiat,76,0,5.8
P01246,Teboho Zwane,19,0,5.7
P01226,Percy Williams,32,0,5.3
P01227,Themba Sithole,41,0,6.8
P01237,Lyle Mothiba,0,0,0
P01234,Evidence Zungu,0,0,0
P01235,Percy Lorch,0,0,0
P01236,Themba Mdantsane,0,0,0
P01245,Lyle Mbatha,0,0,0
P01232,Sphephelo Moseamedi,0,0,0
P01248,Mothobi Mvala,0,0,0
P01231,Mothobi Mokoena,0,0,0
P01230,Ronwen Dolly,0,0,0
P01242,Luther Zwane,0,0,0
P01224,Themba Mokoena,0,0,0
P01223,Percy Zwane,0,0,0
P00626,Gianluca Advincula,67,0,6
P00635,Sergio Lora,65,0,6.9
P00650,Christian Cueva,90,1,6
P00629,Gianluca Tapia,90,0,7.1
P00638,Gianluca Pe̱a,65,1,7.4
P00633,Christian Valera,72,0,6.5
P00636,Alexander Hohberg,81,0,6.7
P00632,Andr̩ Yotun,51,0,5.4
P00639,Pedro Garcia,68,0,5.7
P00630,Pedro Callens,74,0,6.1
P00642,Christian Urruti,82,0,7.7
P00648,Luis Lapadula,24,0,6
P00646,Gianluca Urruti,13,0,5.8
P00647,Pedro Lliuya,14,0,6.9
P00634,Renato Traverso,0,0,0
P00637,Paolo Flores,0,0,0
P00628,Paolo Carrillo,0,0,0
P00641,Andr̩ Gonzalez,0,0,0
P00631,Luis Abram,0,0,0
P00640,Luis Cartagena,0,0,0
P00644,Sergio Lapadula,0,0,0
P00649,Andr̩ Advincula,0,0,0
P00643,Renato Lliuya,0,0,0
P00645,Paolo Gonzalez,0,0,0
P00625,Paolo Lapadula,0,0,0
P00627,Pedro Cueva,0,0,0
P00133,Memphis van Dijk,81,0,6
P00141,Teun Gravenberch,85,0,6.7
P00147,Matthijs Wijndal,72,0,5.8
P00145,Memphis van de Ven,80,0,5.9
P00140,Denzel Malen,72,0,6.4
P00136,Memphis Simons,90,0,7
P00153,Memphis Zerrouki,90,1,8.2
P00135,Cody Dumfries,84,0,6.3
P00154,Daley Gakpo,81,0,6.7
P00144,Cody de Jong,82,0,6.7
P00156,Virgil van Dijk,63,0,6.3
P00138,Matthijs Timber,40,0,6.6
P00137,Daley Berghuis,13,0,4.8
P00146,Daley Frimpong,19,0,6.6
P00142,Xavi Veerman,0,0,0
P00149,Denzel Zerrouki,0,0,0
P00134,Frenkie de Ligt,0,0,0
P00155,Matthijs Blind,0,0,0
